Vehicle_ID,Frame_ID,Tot_Frames,Epoch_ms,Local_X,Local_Y,Global_X,Global_Y,Veh_Len,Veh_Wid,Veh_Class,Veh_Velocity,Vehicle_Acc,Lane_ID,Org_Zone,Dest_Zone,Intersection,Section,Direction,Movement,Preceding_Veh,Following_Veh,Spacing,Headway
2,29,1707,1163033200,8.695,235.155,2230541.536,1375765.856,14,7,2,16.59,-5.03,0,102,214,1,0,2,3,0,0,0,0
2,30,1707,1163033300,7.957,236.573,2230541.013,1375767.607,14,7,2,17.01,10.02,1,102,214,0,2,2,1,0,0,0,0
2,31,1707,1163033400,7.335,238.296,2230540.384,1375769.177,14,7,2,18.7,10.02,1,102,214,0,2,2,1,0,0,0,0
2,32,1707,1163033500,6.855,240.238,2230540.053,1375771.229,14,7,2,21.55,10.02,1,102,214,0,2,2,1,0,0,0,0
2,33,1707,1163033600,6.543,242.413,2230539.947,1375773.631,14,7,2,23.52,10.02,1,102,214,0,2,2,1,0,0,0,0
2,34,1707,1163033700,6.394,244.942,2230540.033,1375776.409,14,7,2,23.31,-12.27,1,102,214,0,2,2,1,0,0,0,0
2,35,1707,1163033800,6.361,247.121,2230540.382,1375778.693,14,7,2,21.13,-10.16,1,102,214,0,2,2,1,0,0,0,0
2,36,1707,1163033900,6.477,249.11,2230540.658,1375780.695,14,7,2,18.38,-11.9,1,102,214,0,2,2,1,0,0,0,0
2,37,1707,1163034000,6.503,250.855,2230540.84,1375782.097,14,7,2,16.9,1.33,1,102,214,0,2,2,1,0,0,0,0
2,38,1707,1163034100,6.47,252.43,2230540.849,1375783.59,14,7,2,17.29,11.87,1,102,214,0,2,2,1,0,0,0,0
2,39,1707,1163034200,6.378,254.238,2230540.934,1375785.324,14,7,2,18.78,11.27,1,102,214,0,2,2,1,0,0,0,0
2,40,1707,1163034300,6.283,256.171,2230541.021,1375787.537,14,7,2,20.36,11.21,1,102,214,0,2,2,1,0,0,0,0
2,41,1707,1163034400,6.19,258.291,2230541.1,1375789.563,14,7,2,21.49,7.92,1,102,214,0,2,2,1,0,0,0,0
2,42,1707,1163034500,6.091,260.486,2230541.183,1375791.721,14,7,2,22.2,7.04,1,102,214,0,2,2,1,0,0,0,0
2,43,1707,1163034600,5.983,262.734,2230541.273,1375794.031,14,7,2,22.87,6.81,1,102,214,0,2,2,1,0,0,0,0
2,44,1707,1163034700,5.866,265.052,2230541.363,1375796.378,14,7,2,23.65,7.29,1,102,214,0,2,2,1,0,0,0,0
